Callsign,Address,Xo,Yo,CodeOut,Antenna (m),Frequency MHz,Tx bandwidth kHz,Rx bandwidth kHz,Azimuth (deg),Nominal power (W),Tx antenna gain (dB),Rx antenna gain (dB),Tx losses (dB),Rx losses (dB),Pattern H,Pattern V,Coverage threshold (dBu),Rx threshold (dBu)
c086267,MU,127.6843414,37.38006592,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
c215662,MU,127.1399307,37.59778976,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
c245670,MU,127.7974243,37.60632324,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
c270431,MU,127.6218872,37.30064011,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
c314047,MU,127.6204224,37.53232574,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
c396394,MU,127.3117371,37.82429886,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
c410633,MU,127.3850937,37.40628815,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
c567988,MU,127.4429703,37.89705658,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
c571323,MU,127.7101135,37.73954391,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
c647257,MU,127.5565643,37.66902924,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
c694465,MU,127.3332062,37.48982239,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
c784094,MU,127.2314758,37.31983566,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
c895141,MU,127.6638107,37.59712601,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
c972623,MU,127.1373825,37.53234863,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
c975403,MU,127.7441101,37.46164703,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
CC,CC,127.4050674,37.57950211,4DEC,30,1429.5,5000,5000,0,1,20,20,0.5,0.5,,27.SPV,3,0
